Point,Point_name,Time,Average_Temp,Min_Temp,Max_Temp,Daily_precipitation,Average_wind_speed,Average_Humidity
101,Gangwon,5/19/2020,12.4,8.6,16,15.9,2.4,78.4
101,Gangwon,5/20/2020,12.1,6,16.6,,1.1,71.8
101,Gangwon,5/21/2020,15.8,8.3,22.3,,1.1,67.6
101,Gangwon,5/22/2020,17.6,13.3,22.3,0.2,1.3,72.8
101,Gangwon,5/23/2020,19.8,15,25.4,0.5,1.2,69
101,Gangwon,5/24/2020,19.4,16.7,22.7,14.9,2.1,77.3
101,Gangwon,5/25/2020,18.2,14.8,22.9,,1.5,79.9
101,Gangwon,5/26/2020,18,14.5,24,2.7,1.2,77.6
101,Gangwon,5/27/2020,18.2,11.7,24.9,,1.3,67.3
101,Gangwon,5/28/2020,18.3,13.5,23.8,,1.4,68.8
101,Gangwon,5/29/2020,20.2,12.2,28.2,,1.3,61.8
101,Gangwon,5/30/2020,21.7,13.6,30.1,,1.5,57.1
101,Gangwon,5/31/2020,21.9,14.9,29.3,0,1.8,62
101,Gangwon,6/1/2020,21.8,19,26.1,0,2.7,53
101,Gangwon,6/2/2020,17.7,14.7,21.4,0.4,1.1,68.8
101,Gangwon,6/3/2020,22.6,15,29.2,,1.8,65.6
101,Gangwon,6/4/2020,24.1,18.9,29.7,,2,68.5
101,Gangwon,6/5/2020,23.9,18.4,30.2,,1.4,65.3
101,Gangwon,6/6/2020,24.2,17.5,31,,2.2,59.8
101,Gangwon,6/7/2020,24.8,19.9,30.1,,1.7,64.3
101,Gangwon,6/8/2020,25.6,18.8,32.6,,1.4,69.9
101,Gangwon,6/9/2020,26.9,19.9,34.4,,1.4,65.3
101,Gangwon,6/10/2020,26.4,21,32.6,1.2,1.4,70
101,Gangwon,6/11/2020,27.1,22.7,33.3,0,1.3,65.6
101,Gangwon,6/12/2020,24.6,19.9,28.9,,1.3,67.3
101,Gangwon,6/13/2020,26.6,19.1,34.4,0,1.8,57.4
101,Gangwon,6/14/2020,25.4,21.4,30.1,2,2.2,66.6
101,Gangwon,6/15/2020,24.5,19.3,30.6,,2.4,51.9
101,Gangwon,6/16/2020,23.4,16.2,30.8,,1.3,62.8
101,Gangwon,6/17/2020,25.1,18.3,31.4,,1.8,58.8
101,Gangwon,6/18/2020,23.3,19.4,27.1,,1.3,65.6
101,Gangwon,6/19/2020,23.6,19.7,29.1,0.3,1.5,64.9
101,Gangwon,6/20/2020,25.1,18.4,32.1,,1.5,65.5
101,Gangwon,6/21/2020,26.5,19.7,34.3,,1.3,61.3
101,Gangwon,6/22/2020,27.6,19.3,36.4,,1.5,54
101,Gangwon,6/23/2020,27.1,20.8,33.3,,1.3,59.3
101,Gangwon,6/24/2020,21.8,19.5,25.3,46.3,1.7,86.3
101,Gangwon,6/25/2020,21.5,19.6,23.6,6.5,1.2,91.4
101,Gangwon,6/26/2020,22.6,20.4,25.8,0.1,2.3,75.6
101,Gangwon,6/27/2020,24,20.4,30,0,1.6,72.5
101,Gangwon,6/28/2020,24.2,19.1,31,,1.2,72.8
101,Gangwon,6/29/2020,23.6,20.1,26.8,1,1.4,78.3
101,Gangwon,6/30/2020,21,18.3,23.6,18,2.9,74.8
101,Gangwon,7/1/2020,20.7,17.4,25.7,1.1,0.8,82.8
101,Gangwon,7/2/2020,23.9,18,30.4,,1.2,73.3
101,Gangwon,7/3/2020,25.8,20.7,31.5,,2,58.4
101,Gangwon,7/4/2020,24.6,19.7,30.2,,1.4,57.1
101,Gangwon,7/5/2020,24,18.3,29.8,,1.6,70.3
101,Gangwon,7/6/2020,25.5,20.1,31.6,,1.4,68.8
101,Gangwon,7/7/2020,24.9,21.5,28.6,,1.6,72.9
101,Gangwon,7/8/2020,25.5,19.1,31.9,,1.5,70.1
101,Gangwon,7/9/2020,26.5,20.5,33,,1.8,65.1
101,Gangwon,7/10/2020,23.4,22.5,25.4,0.8,2.2,77.6
101,Gangwon,7/11/2020,23.9,20.5,27.2,,2.2,66
101,Gangwon,7/12/2020,22,17.7,25.2,0.1,2,68.1
101,Gangwon,7/13/2020,20,18.6,21.7,17.5,2,80.3
101,Gangwon,7/14/2020,20.1,17,23.8,30.8,1.8,77.3
101,Gangwon,7/15/2020,22,17.5,28.7,0,1.4,74
101,Gangwon,7/16/2020,23.9,18.1,31,,1.2,79.8
101,Gangwon,7/17/2020,25.4,20.8,32.5,,1.2,75.6
101,Gangwon,7/18/2020,26.1,22,31.8,,1.2,72.4
101,Gangwon,7/19/2020,22,20.5,23.9,11.2,1.2,87.4
101,Gangwon,7/20/2020,24.4,22.1,26.9,1,1.9,82
101,Gangwon,7/21/2020,25.6,20.9,31.6,,1.1,73.8
101,Gangwon,7/22/2020,24.5,21.6,27.8,,1.1,82
101,Gangwon,7/23/2020,21.8,19,24.5,63,1.5,88.1
101,Gangwon,7/24/2020,22.2,18.7,24.7,12.2,2.7,73.1
101,Gangwon,7/25/2020,24,21.6,27.3,1.1,2.4,71.1
101,Gangwon,7/26/2020,24.3,20.4,29.5,0.1,1.3,75.8
101,Gangwon,7/27/2020,22.7,21.8,24.1,8.6,1.7,92.4
101,Gangwon,7/28/2020,23.8,21.1,27,0.7,1.1,86.1
101,Gangwon,7/29/2020,23,22,23.8,15,1,92.9
101,Gangwon,7/30/2020,25.6,22.8,29.7,,1.3,82.1
101,Gangwon,7/31/2020,25.9,21.5,31.1,11.1,1,82.5
101,Gangwon,8/1/2020,24.7,23.5,26,25,0.7,93.3
101,Gangwon,8/2/2020,24.7,23.5,26.8,44.9,0.9,92.6
101,Gangwon,8/3/2020,23.8,22.9,25,178.7,1.7,95.5
101,Gangwon,8/4/2020,24.8,23,28.6,127.3,1.2,94.3
101,Gangwon,8/5/2020,24.9,24.1,26.2,38.5,1,94.1
101,Gangwon,8/6/2020,24.5,22.9,27.1,95.7,1.5,89.6
101,Gangwon,8/7/2020,23.8,22.1,26.3,0,0.7,88.1
101,Gangwon,8/8/2020,24.6,21.7,28.5,14.7,1.8,81.8
101,Gangwon,8/9/2020,23.7,22.1,25.4,65.4,1.2,94.5
101,Gangwon,8/10/2020,26.5,23.5,29.4,7.6,1.3,85.9
101,Gangwon,8/11/2020,25.1,23,27.4,79.4,1.2,88
101,Gangwon,8/12/2020,26.8,22.9,31,,0.9,82.3
101,Gangwon,8/13/2020,27.2,24.4,30,0.2,0.8,86.3
101,Gangwon,8/14/2020,28.1,26.1,30.3,0.3,1.9,77.6
101,Gangwon,8/15/2020,26.6,25.5,28.1,20.2,1.1,89.6
101,Gangwon,8/16/2020,27.5,24.9,31,0,1.3,78.8
101,Gangwon,8/17/2020,27.2,24.8,30.2,,0.9,81.6
101,Gangwon,8/18/2020,27.7,24.4,32.5,,1.4,78.4
101,Gangwon,8/19/2020,27,23.3,32.5,,1.4,78.1
101,Gangwon,8/20/2020,27.6,22.9,32.8,,1.1,76.1
101,Gangwon,8/21/2020,24.1,22.3,26.6,4.3,2.2,83.8
101,Gangwon,8/22/2020,23.4,21.8,27.1,14.7,1.2,86.5
101,Gangwon,8/23/2020,25,21.4,30.7,,1,81
101,Gangwon,8/24/2020,26.3,22,31.8,,1.1,81.3
101,Gangwon,8/25/2020,28.5,23.9,33.7,0,1.2,76.1
101,Gangwon,8/26/2020,29.1,25.1,34.6,5.7,2.3,71.9
101,Gangwon,8/27/2020,28.5,25.1,31.5,3.6,2.1,75.8
101,Gangwon,8/28/2020,27.8,25,33.2,27,1.1,86.8
101,Gangwon,8/29/2020,27.1,25.1,29.8,6.6,0.9,85.3
101,Gangwon,8/30/2020,27.1,25.1,31.1,13.9,1.3,81.1
101,Gangwon,8/31/2020,25.4,23.6,28.8,,2,74.8
101,Gangwon,9/1/2020,25.9,21.9,30.8,0,1,76.5
101,Gangwon,9/2/2020,24.1,23.2,25.1,24.8,1.2,92.9
101,Gangwon,9/3/2020,23,20.7,25.9,44.5,3.2,74.3
101,Gangwon,9/4/2020,22.4,17.8,27.3,,1.7,67.5
101,Gangwon,9/5/2020,20.6,16.3,25.6,,1.3,82
101,Gangwon,9/6/2020,20.2,18.4,23.8,13.8,1.8,83.4
101,Gangwon,9/7/2020,19.6,16.5,22.9,26.9,3.4,84.1
101,Gangwon,9/8/2020,22.8,18.6,26.8,1.7,3.5,66
101,Gangwon,9/9/2020,19.9,18.1,25.8,14.3,1,87.6
101,Gangwon,9/10/2020,21.1,17.7,26.6,0.2,1,82.9
101,Gangwon,9/11/2020,21.3,17.2,26.7,1.4,2,75.8
101,Gangwon,9/12/2020,19.4,17.9,22.7,11.6,1.5,86.3
101,Gangwon,9/13/2020,20.5,16.2,26,,1,76.4
101,Gangwon,9/14/2020,20.8,17.1,26,,0.9,81.4
101,Gangwon,9/15/2020,21.7,17.9,27.6,,1.1,80.9
101,Gangwon,9/16/2020,20.9,19.8,24.3,17.5,0.7,91.5
101,Gangwon,9/17/2020,19.6,16.2,22.8,,1.1,79.8
101,Gangwon,9/18/2020,18.4,14.3,25.1,0.4,1.4,77.8
101,Gangwon,9/19/2020,17.6,13.3,25.5,,1.2,76
101,Gangwon,9/20/2020,16.8,10.5,24.3,,1.3,68
101,Gangwon,9/21/2020,16.2,10.4,24.2,,1.3,73.3
101,Gangwon,9/22/2020,17.2,11.1,24,,1.8,71
101,Gangwon,9/23/2020,16.8,12.1,21,,2.2,71.5
101,Gangwon,9/24/2020,18.1,13.9,23.2,,1.6,71.3
101,Gangwon,9/25/2020,17.8,13.7,22.4,,1.3,73.4
101,Gangwon,9/26/2020,16.9,12.8,22,0.1,1.3,75.9
101,Gangwon,9/27/2020,17.7,11.4,25.2,,0.9,77
101,Gangwon,9/28/2020,17.9,13.6,25.9,,1.1,79.3
101,Gangwon,9/29/2020,16.8,13.1,22.6,,0.8,85
101,Gangwon,9/30/2020,17.9,13.6,22.2,,1.5,78.4
101,Gangwon,10/1/2020,18.5,14.6,24,,1.5,77
101,Gangwon,10/2/2020,17.9,14.9,21.6,0,1,83.3
101,Gangwon,10/3/2020,18.8,16.1,24.3,,1.1,76.5
101,Gangwon,10/4/2020,16.2,9.4,21.8,0.1,1.7,70.1
101,Gangwon,10/5/2020,11.5,4.6,19.1,,1.3,67.4
101,Gangwon,10/6/2020,11.9,5.7,20.4,,0.9,71.1
101,Gangwon,10/7/2020,14.3,7.9,21.7,,1.6,65.4
101,Gangwon,10/8/2020,14.4,8.8,21.6,,2.3,65.6
101,Gangwon,10/9/2020,14.6,8.7,21,,2.6,65.8
101,Gangwon,10/10/2020,14.6,8.3,20.8,,1.6,72.9
101,Gangwon,10/11/2020,14.2,9.3,19.3,,0.9,79.8
101,Gangwon,10/12/2020,14.7,10.5,21.6,,0.9,84.3
101,Gangwon,10/13/2020,12.4,8.5,19.2,,0.9,79.4
101,Gangwon,10/14/2020,10.8,5.8,18.3,,1,69.4
101,Gangwon,10/15/2020,9.5,3.7,18.5,,0.9,65.5
101,Gangwon,10/16/2020,8,4.7,11.7,,0.4,84
101,Gangwon,10/17/2020,10.1,5.6,18.7,,0.7,78.5
101,Gangwon,10/18/2020,10.1,3.4,20,,0.6,80.9
101,Gangwon,10/19/2020,11.3,6.7,20.3,,0.7,82.3
101,Gangwon,10/20/2020,11.7,5.6,21.9,,0.8,77
101,Gangwon,10/21/2020,10.2,7.3,14.7,,0.5,85.6
101,Gangwon,10/22/2020,12.3,6.7,19.3,0,1.4,70.5
101,Gangwon,10/23/2020,7.1,1.3,14.4,,1.4,62.8
101,Gangwon,10/24/2020,6.1,-1.9,14.9,,1,60.6
101,Gangwon,10/25/2020,8.2,-0.7,19.6,,0.7,66.6
101,Gangwon,10/26/2020,9.6,2,19.1,,0.6,76.9
101,Gangwon,10/27/2020,10.5,5.4,19,,0.6,84.5
101,Gangwon,10/28/2020,11.3,4.5,20.1,,1.1,64.1
101,Gangwon,10/29/2020,7.7,0.1,17.7,,0.6,59.1
101,Gangwon,10/30/2020,9.5,2,18.7,,1.2,60.4
101,Gangwon,10/31/2020,10.3,2.8,17.4,,0.8,74.3
101,Gangwon,11/1/2020,11.4,8.9,12.8,1.9,1.2,88
101,Gangwon,11/2/2020,8.9,5.5,15.7,0,1.1,67.5
101,Gangwon,11/3/2020,5.1,-0.6,8.6,,2.7,39.6
101,Gangwon,11/4/2020,2.3,-5.1,11.8,,0.7,51.9
101,Gangwon,11/5/2020,6.9,-2.1,15.6,,0.5,61.9
101,Gangwon,11/6/2020,11.4,7.2,16.9,,1,66.8
101,Gangwon,11/7/2020,14,9.5,18.6,0,2,55.5
101,Gangwon,11/8/2020,7.7,2.1,14.2,,1.9,46.5
101,Gangwon,11/9/2020,3.6,-4,11.8,,1.3,47.9
101,Gangwon,11/10/2020,4.4,-2.9,14.1,,0.8,59.3
101,Gangwon,11/11/2020,5.6,-1.7,15.7,,0.5,65.9
101,Gangwon,11/12/2020,6.6,-1.2,17.8,,0.5,69
101,Gangwon,11/13/2020,8.5,2.4,18.4,,0.5,72.9
101,Gangwon,11/14/2020,8.4,1.9,18.4,,0.5,76
101,Gangwon,11/15/2020,8.5,2.2,16.9,,0.9,76.1
101,Gangwon,11/16/2020,9,2.1,18.1,,0.7,76.1
101,Gangwon,11/17/2020,10.8,4.3,16.5,0,0.6,79.8
101,Gangwon,11/18/2020,13.7,11.8,15.3,7.9,0.5,95.5
101,Gangwon,11/19/2020,14.8,8.8,19.5,72,2.9,81.5
101,Gangwon,11/20/2020,4.3,1.1,8.7,,3.3,67.9
101,Gangwon,11/21/2020,5.3,-1.4,11.4,0,1.1,71.3
101,Gangwon,11/22/2020,6.5,3.6,7.7,2.4,1.7,75
101,Gangwon,11/23/2020,1.9,-2,7,,1.2,66.9
101,Gangwon,11/24/2020,1,-3,6.3,,0.7,71.5
101,Gangwon,11/25/2020,1.7,-2.8,8.6,,0.5,77.5
101,Gangwon,11/26/2020,2.8,-1.2,10.2,,0.7,81.5
101,Gangwon,11/27/2020,2.3,-1.9,7.7,,1.2,71
101,Gangwon,11/28/2020,-0.8,-4.7,4.7,,1.3,56.1
101,Gangwon,11/29/2020,-1,-6,4.3,,1.2,59.1
101,Gangwon,11/30/2020,-2.1,-7.7,5.3,,0.8,65.1
101,Gangwon,12/1/2020,-1.4,-7.4,6.5,,0.5,64.9
101,Gangwon,12/2/2020,0.7,-3,6.4,,0.6,60.9
101,Gangwon,12/3/2020,-0.8,-5.7,6.1,,1,58.5
101,Gangwon,12/4/2020,-2.5,-8,5.2,,0.9,61.6
101,Gangwon,12/5/2020,-1.1,-7.3,6.6,,0.7,70.9
101,Gangwon,12/6/2020,1.7,-3.4,8.2,,0.9,72.8
101,Gangwon,12/7/2020,1.7,-1.9,7.6,,1.6,59.3
101,Gangwon,12/8/2020,-2.2,-7.1,5.4,,0.6,58.1
101,Gangwon,12/9/2020,-1.9,-8.2,4.6,,0.5,63.8
101,Gangwon,12/10/2020,2.1,-0.7,7.4,0,0.6,71.3
101,Gangwon,12/11/2020,1.8,-2.8,6.9,,0.6,82.4
101,Gangwon,12/12/2020,0.4,-4.1,6.9,,1,67.4
101,Gangwon,12/13/2020,-2.5,-7,1.1,4.5,0.9,79
101,Gangwon,12/14/2020,-9.1,-13.4,-4.1,,1.6,60.4
101,Gangwon,12/15/2020,-10.1,-15.6,-3.6,,1.3,50.9
101,Gangwon,12/16/2020,-11,-17.2,-2.5,,0.8,59.8
101,Gangwon,12/17/2020,-8.3,-16.9,-0.9,,0.5,60.1
101,Gangwon,12/18/2020,-2.7,-7.8,3.4,,1.2,52.5
101,Gangwon,12/19/2020,-7,-13.7,0.7,,0.8,59.8
101,Gangwon,12/20/2020,-6.7,-13.1,2,,0.7,63.1
101,Gangwon,12/21/2020,-5.2,-12.1,4.2,,0.6,71.1
101,Gangwon,12/22/2020,-2.8,-8.3,4,0.1,0.4,83.8
101,Gangwon,12/23/2020,-1.2,-6,2.4,,0.5,88.4
101,Gangwon,12/24/2020,1.5,-2,6,0,2,58.3
101,Gangwon,12/25/2020,-2.8,-8.9,3.4,,1.5,57.4
101,Gangwon,12/26/2020,0,-4.8,8,,0.9,64.8
101,Gangwon,12/27/2020,2.2,-4.1,8.6,0,0.5,71.3
101,Gangwon,12/28/2020,2.9,-1.5,10.5,0.3,0.5,83.1
101,Gangwon,12/29/2020,-0.4,-3,2.1,0,1.2,78.6
101,Gangwon,12/30/2020,-9.5,-13.6,-2.4,,2.7,41.8
101,Gangwon,12/31/2020,-9.6,-15.9,-3.5,,1.7,51
101,Gangwon,1/1/2021,-5.6,-14.6,1.2,,1.5,54.6
101,Gangwon,1/2/2021,-5.5,-11.8,0.4,,1.5,40.6
101,Gangwon,1/3/2021,-6.9,-14.1,-0.5,,1.2,49.5
101,Gangwon,1/4/2021,-5.6,-12.8,0.6,0.6,0.7,58.9
101,Gangwon,1/5/2021,-5.6,-11.7,-1,0.1,1.3,56.6
101,Gangwon,1/6/2021,-9,-16.2,-2.3,1.6,1.1,61.5
101,Gangwon,1/7/2021,-13.8,-17.3,-6.1,0.6,3.2,42.5
101,Gangwon,1/8/2021,-15.9,-21.9,-9.2,,1.5,47.9
101,Gangwon,1/9/2021,-14.2,-21.6,-6.4,,1.2,56.3
101,Gangwon,1/10/2021,-11,-18.7,-3.2,,0.7,61.8
101,Gangwon,1/11/2021,-10.5,-14.8,-5.6,,0.5,74.5
101,Gangwon,1/12/2021,-8.5,-15.5,-2.8,1,0.4,82.8
101,Gangwon,1/13/2021,0.3,-7.1,6,0.1,0.7,78.1
101,Gangwon,1/14/2021,-1.5,-7.2,5.9,,0.6,61.1
101,Gangwon,1/15/2021,0.3,-5.8,7.8,0.4,1.1,66.1
101,Gangwon,1/16/2021,-2.8,-8.7,2.2,,2.3,52.9
101,Gangwon,1/17/2021,-6.5,-14.3,-0.7,0.2,1.4,56.5
101,Gangwon,1/18/2021,-4.8,-10.3,-0.2,3.5,1.8,67.3
101,Gangwon,1/19/2021,-9.9,-16.4,-1.9,,0.7,62.6
101,Gangwon,1/20/2021,-6.8,-14.3,2.9,,0.5,69
101,Gangwon,1/21/2021,-0.3,-5.5,3.4,4.5,0.4,78.1
101,Gangwon,1/22/2021,3.2,1.2,5.4,0,0.5,96.8
101,Gangwon,1/23/2021,5.1,2,9.2,,3,69.8
101,Gangwon,1/24/2021,3.7,-1,12.6,,1.1,75.8
101,Gangwon,1/25/2021,2.6,-2.8,11.7,,0.5,81
101,Gangwon,1/26/2021,2,0.1,4.4,1.5,0.4,93.1
101,Gangwon,1/27/2021,1.4,-2.4,8,,0.9,65.8
101,Gangwon,1/28/2021,-3.6,-8.8,0.4,2.2,3,59.3
101,Gangwon,1/29/2021,-8.2,-12,-2.9,,2.5,37.3
101,Gangwon,1/30/2021,-6,-11.5,0.8,1.4,0.6,78.1
101,Gangwon,1/31/2021,-2.3,-10.5,5.3,,0.4,73.8
101,Gangwon,2/1/2021,3.9,0.8,10.9,1,1.5,73.5
101,Gangwon,2/2/2021,-4.3,-6.9,0.9,,3.2,36.5
101,Gangwon,2/3/2021,-4.4,-12.5,1.6,2.6,1.5,58.3
101,Gangwon,2/4/2021,-4.2,-11.5,0.9,2.3,1.6,56.5
101,Gangwon,2/5/2021,-0.1,-7.1,4.6,,1.4,66.4
101,Gangwon,2/6/2021,6.5,3.7,9.6,,2,65.6
101,Gangwon,2/7/2021,3.4,-1.6,9.7,,1.6,60.8
101,Gangwon,2/8/2021,-2.8,-7,2,,1.6,50
101,Gangwon,2/9/2021,-2.2,-9.7,5.8,,1.1,53.4
101,Gangwon,2/10/2021,0.5,-6.2,6.7,,1.1,72.9
101,Gangwon,2/11/2021,1.4,-4.2,9.7,,0.5,78.5
101,Gangwon,2/12/2021,2.8,-4.2,13.8,,0.6,68.1
101,Gangwon,2/13/2021,3.4,-4.2,14.6,,0.6,61.3
101,Gangwon,2/14/2021,6.1,0.5,12.6,0,0.6,64.9
101,Gangwon,2/15/2021,2.1,-4.7,6,0.7,3.1,58.6
101,Gangwon,2/16/2021,-4.1,-6.8,-0.4,,3.1,40
101,Gangwon,2/17/2021,-7.9,-10.4,-4.2,,3.7,37.8
101,Gangwon,2/18/2021,-7,-13.7,-0.1,,1.2,51
101,Gangwon,2/19/2021,-0.7,-10.8,6.9,,1.2,62.3
101,Gangwon,2/20/2021,8.4,0.6,15.5,,2.3,53.6
101,Gangwon,2/21/2021,8.4,-2.8,19.9,,1.3,60.8
101,Gangwon,2/22/2021,7.1,1.3,15.9,,1.7,56.4
101,Gangwon,2/23/2021,0.4,-5.3,7.1,,1.2,40.1
101,Gangwon,2/24/2021,0.7,-6.7,11.3,,0.6,43.1
101,Gangwon,2/25/2021,0.1,-4.2,5.8,,0.6,55.8
101,Gangwon,2/26/2021,4.4,-3.8,13.5,,2.4,51.8
101,Gangwon,2/27/2021,6.1,-0.3,13.1,,3.1,61.1
101,Gangwon,2/28/2021,5.2,-2.3,11.4,,1,61.8
101,Gangwon,3/1/2021,2.9,-0.2,5.7,69.7,2.3,94.1
101,Gangwon,3/2/2021,0.9,-2.1,4.6,2.2,1.2,78.8
101,Gangwon,3/3/2021,1.5,-2.5,8.1,,0.9,80.4
101,Gangwon,3/4/2021,3.3,-1.5,11.1,,0.6,82.1
101,Gangwon,3/5/2021,5.3,-0.5,15.5,,0.8,81
101,Gangwon,3/6/2021,3.4,1.7,6.4,,3.2,66.8
101,Gangwon,3/7/2021,4.5,-0.3,12.5,,1.3,64.1
101,Gangwon,3/8/2021,5.1,-2.2,14.6,,0.9,61
101,Gangwon,3/9/2021,5.5,-2.4,14.6,,0.9,59.4
101,Gangwon,3/10/2021,6.6,-1.3,17.2,,0.8,62.8
101,Gangwon,3/11/2021,8.6,-0.2,17.7,,0.7,58.4
101,Gangwon,3/12/2021,8.9,6.1,12.3,0.5,1.5,64
101,Gangwon,3/13/2021,8.6,1.7,15.7,,0.9,62.9
101,Gangwon,3/14/2021,8.2,1.1,15.8,,1,71
101,Gangwon,3/15/2021,9.2,1.7,15.8,,1.5,66.4
101,Gangwon,3/16/2021,10.3,4.3,15.9,0.2,1.9,45.4
101,Gangwon,3/17/2021,8.5,-0.3,19,,1.1,50.1
101,Gangwon,3/18/2021,10.1,0.7,19,,1.3,52.9
101,Gangwon,3/19/2021,13.5,9.3,20.3,,2,53.5
101,Gangwon,3/20/2021,9.8,8.7,11.7,3,1.2,78.4
101,Gangwon,3/21/2021,7.1,4.7,10.5,0,2.9,57.4
101,Gangwon,3/22/2021,6.5,0.2,12.2,,2.5,42.4
101,Gangwon,3/23/2021,7.9,-1.6,17,,2,54.4
101,Gangwon,3/24/2021,9.3,0.5,17.5,,1.3,56.9
101,Gangwon,3/25/2021,11.5,2.8,20.4,,1.8,57.1
101,Gangwon,3/26/2021,11.6,2.8,22.1,,0.7,51.8
101,Gangwon,3/27/2021,9.6,5.8,14.3,17.8,1.1,74.4
101,Gangwon,3/28/2021,10.5,9.8,11.9,10.6,2.1,88.9
101,Gangwon,3/29/2021,11.5,7.1,15.8,0.1,2.9,49.8
101,Gangwon,3/30/2021,9.9,0.7,20.1,,1,52.4
101,Gangwon,3/31/2021,12.7,2.2,23.5,,1,48.4
101,Gangwon,4/1/2021,14.4,8,21.7,,3.3,44.1
101,Gangwon,4/2/2021,16.5,8.3,24.4,,1.8,44.5
101,Gangwon,4/3/2021,12.7,10.2,15.4,63.1,1.6,82.9
101,Gangwon,4/4/2021,9.8,5.7,13.4,1.7,2.8,60.3
101,Gangwon,4/5/2021,10.1,2.1,18.9,,1.3,53.4
101,Gangwon,4/6/2021,12.5,5.5,20.8,,1.4,51.5
101,Gangwon,4/7/2021,12.8,4,21.8,,1.7,48.5
101,Gangwon,4/8/2021,11.4,3.7,19.3,,1.3,48
101,Gangwon,4/9/2021,11.1,4.3,18.5,,2.1,43.8
101,Gangwon,4/10/2021,11.4,2.8,20,,1.2,55.5
101,Gangwon,4/11/2021,13.7,4.4,22.4,,0.8,51.8
101,Gangwon,4/12/2021,12.7,10.5,18.5,24.2,1,74.8
101,Gangwon,4/13/2021,12.4,8.2,16,7.6,2.6,63.8
101,Gangwon,4/14/2021,9.5,2,16.3,,2.1,49.9
101,Gangwon,4/15/2021,10.6,2.9,19.5,,1.2,56.8
101,Gangwon,4/16/2021,10.9,6.3,16.1,0,1.7,59.6
